fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2016.0,9.0,5.14
Petrol,2022.0,3.0,10.25
Petrol,2015.0,10.0,3.74
Diesel,2022.0,3.0,54.0
Diesel,2021.0,4.0,17.5
Petrol,2019.0,6.0,5.99
Diesel,2019.0,6.0,15.5
Petrol,2020.0,5.0,83.0
Petrol,2017.0,8.0,4.54
Petrol,2018.0,7.0,50.0
Petrol,2012.0,13.0,2.95
Diesel,2021.0,4.0,64.0
Petrol,2015.0,10.0,3.79
Petrol,2019.0,6.0,7.5
Petrol,2023.0,2.0,13.9
Diesel,2019.0,6.0,8.7
Petrol,2018.0,7.0,8.85
Diesel,2017.0,8.0,19.9
Diesel,2018.0,7.0,10.9
Petrol,2018.0,7.0,6.95
Diesel,2019.0,6.0,6.68
Diesel,2017.0,8.0,24.5
Petrol,2017.0,8.0,5.45
Petrol,2016.0,9.0,5.0
Petrol,2021.0,4.0,65.0
Diesel,2017.0,8.0,4.63
Diesel,2018.0,7.0,24.0
Petrol,2019.0,6.0,9.63
Diesel,2015.0,10.0,18.5
Petrol,2013.0,12.0,4.0
Diesel,2018.0,7.0,29.9
Diesel,2016.0,9.0,39.9
Petrol,2017.0,8.0,5.75
Diesel,2018.0,7.0,10.75
Petrol,2018.0,7.0,9.3
Diesel,2018.0,7.0,10.9
Petrol,2018.0,7.0,6.95
Diesel,2019.0,6.0,6.68
Diesel,2017.0,8.0,24.5
Petrol,2017.0,8.0,5.45
Petrol,2016.0,9.0,5.0
Petrol,2021.0,4.0,65.0
Diesel,2017.0,8.0,4.63
Diesel,2018.0,7.0,24.0
Petrol,2019.0,6.0,9.63
Diesel,2015.0,10.0,18.5
Petrol,2013.0,12.0,4.0
Diesel,2018.0,7.0,29.9
Diesel,2016.0,9.0,39.9
Petrol,2017.0,8.0,5.75
Diesel,2018.0,7.0,10.75
Petrol,2018.0,7.0,9.3
Petrol,2021.0,4.0,16.5
Petrol,2019.0,6.0,8.66
Diesel,2019.0,6.0,8.0
Petrol,2021.0,4.0,9.74
Petrol,2018.0,7.0,19.25
Diesel,2016.0,9.0,18.0
Petrol,2015.0,10.0,6.82
Petrol,2017.0,8.0,24.8
Petrol,2022.0,3.0,48.5
Diesel,2019.0,6.0,7.8
Petrol,2018.0,7.0,93.0
Petrol,2019.0,6.0,10.76
Diesel,2017.0,8.0,25.5
Petrol,2020.0,5.0,82.0
Petrol,2015.0,10.0,3.21
Diesel,2020.0,5.0,69.5
Diesel,2017.0,8.0,6.61
Diesel,2019.0,6.0,43.0
Petrol,2015.0,10.0,4.6
Petrol,2021.0,4.0,16.5
Petrol,2019.0,6.0,8.66
Diesel,2019.0,6.0,8.0
Petrol,2021.0,4.0,9.74
